| GTID   | GT_Tag                                       |     q |     a1x |     a1y |     a1z |     a2x |     a2y |     a2z | af     | mf     |   Momega |
| GT0267 | fr_b3.1_a0.6_oth.195_rr_M77                  |  1.00 | -0.1553 |  0.0000 | -0.5796 | -0.6000 |  0.0000 |  0.0000 | -      | -      |  0.41507 |
| GT0272 | fr_b3.1_a0.6_oth.250_rr_M77                  |  1.00 | -0.5638 |  0.0000 | -0.2052 | -0.6000 |  0.0000 |  0.0000 | -      | -      |  0.13595 |
| GT0275 | fr_b3.1_a0.6_oth.265_rr_M77                  |  1.00 | -0.5977 |  0.0000 | -0.0523 | -0.6000 |  0.0000 |  0.0000 | -      | -      |  0.10703 |
| GT0277 | fr_b3.1_a0.6_oth.285_rr_M77                  |  1.00 | -0.5796 |  0.0000 |  0.1553 | -0.6000 |  0.0000 |  0.0000 | -      | -      |  0.09090 |
| GT0278 | fr_b3.1_a0.6_oth.300_rr_M77                  |  1.00 | -0.5196 |  0.0000 |  0.3000 | -0.6000 |  0.0000 |  0.0000 | -      | -      |  0.08527 |
| GT0280 | fr_b3.1_a0.6_oth.330_rr_M77                  |  1.00 | -0.3000 |  0.0000 |  0.5196 | -0.6000 |  0.0000 |  0.0000 | -      | -      |  0.08096 |
| GT0281 | fr_b3.1_a0.6_oth.345_rr_M77                  |  1.00 | -0.1553 |  0.0000 |  0.5796 | -0.6000 |  0.0000 |  0.0000 | -      | -      |  0.08070 |
| GT0282 | fr_b3.1_a0.4_oth.247_M77                     |  1.00 | -0.3682 |  0.0000 | -0.1563 | -0.4000 |  0.0000 |  0.0000 | -      | -      |  0.16442 |
| GT0283 | fr_b3.1_a0.4_oth.255_M77                     |  1.00 | -0.3864 |  0.0000 | -0.1035 | -0.4000 |  0.0000 |  0.0000 | -      | -      |  0.14359 |
| GT0284 | fr_b3.1_a0.6_oth.235_rr_M77                  |  1.00 | -0.4915 |  0.0000 | -0.3441 | -0.6000 |  0.0000 |  0.0000 | -      | -      |  0.21736 |
| GT0285 | fr_b3.1_a0.6_oth.230_rr_M77                  |  1.00 | -0.4596 |  0.0000 | -0.3857 | -0.6000 |  0.0000 |  0.0000 | -      | -      |  0.27118 |
| GT0286 | fr_b3.1_a0.6_oth.220_rr_M77                  |  1.00 | -0.3857 |  0.0000 | -0.4596 | -0.6000 |  0.0000 |  0.0000 | -      | -      |  0.38367 |
| GT0287 | fr_b3.1_a0.6_oth.215_rr_M77                  |  1.00 | -0.3441 |  0.0000 | -0.4915 | -0.6000 |  0.0000 |  0.0000 | -      | -      |  0.41007 |
| GT0304 | fr_b5_a0.6_oth.000_M90                       |  1.00 |  0.0000 |  0.0000 |  0.6000 | -0.6000 |  0.0000 |  0.0000 | -      | -      |  0.02866 |
| GT0308 | fr_b5_a0.6_oth.210_M77                       |  1.00 | -0.3000 |  0.0000 | -0.5196 | -0.6000 |  0.0000 |  0.0000 | -      | -      |  0.03078 |
| GT0311 | fr_b5_a0.6_oth.245_M77                       |  1.00 | -0.5438 |  0.0000 | -0.2536 | -0.6000 |  0.0000 |  0.0000 | -      | -      |  0.02981 |
| GT0314 | fr_b5_a0.6_oth.260_M77                       |  1.00 | -0.5909 |  0.0000 | -0.1042 | -0.6000 |  0.0000 |  0.0000 | -      | -      |  0.02938 |
| GT0355 | D11_a0.2_q1.00_m103_As                       |  1.00 |  0.0000 |  0.0000 |  0.2000 |  0.0000 |  0.0000 | -0.2000 | 0.6861 | 0.9515 |  0.02512 |
| GT0356 | D11_a0.4_q1.00_m103_As                       |  1.00 |  0.0000 |  0.0000 |  0.4000 |  0.0000 |  0.0000 | -0.4002 | 0.6857 | 0.9514 |  0.02513 |
| GT0357 | D11_a0.6_q1.00_m103_As                       |  1.00 |  0.0000 |  0.0000 |  0.6013 |  0.0000 |  0.0000 | -0.6015 | 0.6849 | 0.9512 |  0.02511 |
| GT0358 | D11_a0.8_q1.00_m103_As                       |  1.00 |  0.0000 |  0.0000 |  0.8085 |  0.0000 |  0.0000 | -0.8086 | 0.6839 | 0.9509 |  0.02533 |
| GT0370 | D10_a0.0_q1.15_m103_Qs                       |  1.15 |  0.0000 |  0.0000 |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 0.6836 | 0.9520 |  0.02943 |
| GT0371 | D10_a0.0_q1.30_m103_Qs                       |  1.30 |  0.0000 |  0.0000 |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 0.6768 | 0.9531 |  0.02938 |
| GT0372 | D10_a0.0_q1.45_m103_Qs                       |  1.45 |  0.0000 |  0.0000 |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 0.6675 | 0.9546 |  0.02931 |
| GT0374 | D10_a0.0_q1.60_m103_Qs                       |  1.60 |  0.0000 |  0.0000 |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 0.6565 | 0.9563 |  0.02926 |
| GT0376 | D10_a0.0_q1.90_m103_Qs                       |  1.90 |  0.0000 |  0.0000 |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 0.6318 | 0.9600 |  0.02912 |
| GT0378 | D10_a0.0_q2.05_m103_Qs                       |  2.05 |  0.0000 |  0.0000 |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 0.6190 | 0.9618 |  0.02904 |
| GT0379 | D10_a0.0_q2.20_m103_Qs                       |  2.20 |  0.0000 |  0.0000 |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 0.6060 | 0.9635 |  0.02896 |
| GT0380 | D10_a0.0_q2.35_m103_Qs                       |  2.35 |  0.0000 |  0.0000 |  0.0000 |  0.0000 |  0.0000 |  0.0000 | 0.5932 | 0.9651 |  0.02888 |
| GT0382 | fr_b3.1_a0.8_oth.000_M77                     |  1.00 |  0.0000 |  0.0000 |  0.8000 | -0.8000 |  0.0000 |  0.0000 | -      | -      |  0.07551 |
| GT0384 | fr_b3.1_a0.8_oth.030_M77                     |  1.00 |  0.4000 |  0.0000 |  0.6928 | -0.8000 |  0.0000 |  0.0000 | -      | -      |  0.07980 |
| GT0385 | fr_b3.1_a0.8_oth.060_M77                     |  1.00 |  0.6928 |  0.0000 |  0.4000 | -0.8000 |  0.0000 |  0.0000 | -      | -      |  0.09013 |
| GT0388 | fr_b3.1_a0.8_oth.090_M77                     |  1.00 |  0.8000 |  0.0000 |  0.0000 | -0.8000 |  0.0000 |  0.0000 | -      | -      |  0.12728 |
| GT0389 | D6.2_q1_a-0.6_m100                           |  1.00 |  0.0000 |  0.0000 | -0.6012 |  0.0000 |  0.0000 | -0.6012 | 0.4876 | 0.9651 |  0.19515 |
| GT0390 | fr_b3.1_a0.8_oth.120_M77                     |  1.00 |  0.6928 |  0.0000 | -0.4000 | -0.8000 |  0.0000 |  0.0000 | -      | -      |  0.40629 |
| GT0391 | fr_b3.1_a0.8_oth.150_M77                     |  1.00 |  0.4000 |  0.0000 | -0.6928 | -0.8000 |  0.0000 |  0.0000 | -      | -      |  0.40942 |
| GT0392 | D6.2_q1_a-0.8_m100                           |  1.00 |  0.0000 |  0.0000 | -0.8089 |  0.0000 |  0.0000 | -0.8089 | 0.4122 | 0.9675 |  0.30975 |
| GT0393 | fr_b3.1_a0.8_oth.180_M77                     |  1.00 |  0.0000 |  0.0000 | -0.8000 | -0.8000 |  0.0000 |  0.0000 | -      | -      |  0.41188 |
| GT0395 | fr_b3.1_a0.8_oth.210_M77                     |  1.00 | -0.4000 |  0.0000 | -0.6928 | -0.8000 |  0.0000 |  0.0000 | -      | -      |  0.42048 |
| GT0396 | fr_b3.1_a0.8_oth.240_M77                     |  1.00 | -0.6928 |  0.0000 | -0.4000 | -0.8000 |  0.0000 |  0.0000 | -      | -      |  0.15877 |
